158 to 323,1
119 to 204,1
96 to 258,1
300 to 751,1
108 to 416,1
48 to 414,1
137 to 478,1
654 to 762,1
762 to 924,1
253 to 279,1
425 to 548,1
378 to 721,1
86 to 334,1
49 to 341,1
130 to 506,1
358 to 460,1
194 to 934,1
400 to 892,1
29 to 228,1
110 to 463,1
337 to 662,1
373 to 425,2
692 to 916,1
367 to 768,1
205 to 376,1
22 to 110,1
458 to 541,1
840 to 864,2
166 to 906,1
235 to 578,1
624 to 997,1
246 to 620,1
246 to 623,1
317 to 450,1
343 to 915,1
637 to 648,1
677 to 898,1
73 to 224,1
211 to 512,1
197 to 613,1
493 to 761,1
219 to 294,2
391 to 505,1
53 to 669,1
350 to 397,1
414 to 476,1
721 to 946,1
78 to 117,1
110 to 598,1
333 to 357,1
357 to 449,1
357 to 768,1
246 to 752,1
610 to 851,1
342 to 918,1
169 to 534,2
3 to 41,2
141 to 160,1
246 to 282,1
312 to 769,1
201 to 707,1
322 to 839,1
170 to 324,1
305 to 422,1
312 to 582,1
367 to 610,1
74 to 176,1
326 to 895,1
23 to 81,1
400 to 639,1
187 to 526,1
439 to 562,1
233 to 596,1
18 to 188,1
439 to 561,3
56 to 403,2
18 to 742,1
118 to 163,1
481 to 824,1
319 to 410,1
118 to 169,1
50 to 92,1
540 to 779,1
303 to 900,1
463 to 663,1
26 to 32,1
357 to 692,1
235 to 593,1
597 to 951,1
65 to 449,1
19 to 549,1
308 to 482,1
578 to 693,1
160 to 531,1
622 to 898,1
432 to 814,1
582 to 957,3
204 to 498,1
219 to 279,1
72 to 311,1
187 to 239,1
235 to 332,1
113 to 178,1
215 to 653,1
44 to 266,1
39 to 376,1
674 to 726,1
58 to 137,1
120 to 404,1
159 to 323,1
39 to 172,1
213 to 312,1
160 to 407,1
643 to 922,1
498 to 570,1
686 to 711,1
507 to 715,1
247 to 590,1
564 to 728,1
33 to 252,1
44 to 463,1
351 to 388,1
142 to 221,1
53 to 508,1
23 to 145,1
720 to 937,1
8 to 35,1
443 to 891,1
155 to 718,1
158 to 882,2
175 to 264,1
168 to 793,1
115 to 219,1
159 to 809,1
64 to 78,1
423 to 439,1
3 to 174,2
298 to 341,1
788 to 936,1
234 to 550,1
286 to 475,1
418 to 534,1
41 to 668,1
156 to 264,1
132 to 449,1
284 to 871,1
208 to 779,1
12 to 103,1
113 to 226,1
132 to 520,1
459 to 798,1
297 to 804,1
7 to 147,1
184 to 617,1
50 to 477,1
453 to 696,1
321 to 925,1
228 to 418,1
203 to 302,1
130 to 186,1
18 to 476,1
4 to 207,1
206 to 405,2
790 to 858,1
184 to 296,1
43 to 357,1
821 to 856,1
490 to 548,1
395 to 521,1
150 to 330,1
182 to 634,2
71 to 587,1
304 to 990,1
194 to 252,1
9 to 221,1
43 to 829,1
104 to 174,1
2 to 198,1
538 to 712,1
226 to 946,1
33 to 71,1
230 to 959,1
23 to 116,1
