#entity1_id,entity2_id
1054,34
1600,34
1601,34
1602,34
1603,34
1604,34
1605,34
43295,34
1610,35
1207,35
1207,35
1207,35
1614,35
1614,35
1615,35
1615,35
1617,35
1618,35
1168,35
1619,35
1620,35
1621,35
1622,35
1623,35
1033,35
1170,35
1626,36
1626,36
1631,36
1297,36
1632,36
1264,36
1633,36
1415,36
1634,36
1635,36
1636,36
1637,36
1638,36
1640,38
1641,38
1643,38
1644,38
1646,38
1646,38
1301,38
1648,38
1650,38
1651,38
1652,38
1653,38
1654,38
1252,38
1252,38
1252,38
1660,38
1661,38
1662,39
1154,39
1154,39
1664,39
1665,39
1666,39
1667,39
1087,39
1669,39
1669,39
1669,39
1670,39
1415,39
23326,39
1673,39
1675,39
1676,39
1677,40
1678,40
1679,40
1680,40
1681,40
1682,40
1683,40
1683,40
1683,40
1684,40
1687,40
1687,40
1687,40
2202,40
1695,40
1695,40
1697,40
1557,41
1700,41
1670,41
1701,41
1702,41
1704,41
1555,41
1555,41
1708,41
1708,41
1708,41
1710,41
1711,41
1060,41
1712,41
1713,41
1714,41
1715,41
1718,19192
1718,19192
1718,19192
1501,19192
1722,19192
1152,19192
1152,19192
1152,19192
1724,19192
1725,19192
1648,19192
1726,19192
1727,19192
1728,19192
1637,19192
1730,19192
1731,43
1732,43
1733,43
1306,43
1734,43
33550,43
1741,43
1622,43
1742,43
1743,43
1744,43
1749,44
1751,44
1363,44
1752,44
1753,44
1754,44
1761,46
1763,46
1763,46
1763,46
1766,46
1539,46
1265,47
1769,47
1769,47
1769,47
1773,47
1774,47
1256,47
1379,47
1775,47
1776,47
1777,47
1388,47
1778,47
1779,47
1781,48
1781,48
1783,48
1744,48
1784,48
1741,48
1785,48
33695,48
1787,48
1788,48
1789,48
1790,48
1791,48
43295,48
1034,48
1796,48
1797,49
1695,49
1643,49
1798,49
1798,49
1798,49
1805,49
1806,49
1807,49
1808,49
1183,49
1640,49
1810,49
1811,50
1228,50
1605,50
1812,50
1151,50
1151,50
1813,50
1813,50
1813,50
1814,50
1815,50
1816,50
1817,50
1818,50
1819,50
1820,50
1823,50
1825,51
1826,51
1827,51
1829,51
1830,51
1831,51
1833,51
1835,51
2054,51
1837,51
1271,51
1271,51
1271,51
1839,51
1840,51
1841,51
1843,52
1843,52
1843,52
1844,52
1845,52
1846,52
1847,52
1848,52
1849,52
1850,52
1851,52
1856,52
1857,52
1859,52
1860,53
1861,53
1862,53
7643,53
1864,53
1865,53
1866,53
1867,53
1412,53
1412,53
1412,53
1873,54
1874,54
1876,54
1878,54
1881,54
1882,54
1664,54
1885,54
1886,54
1887,54
1894,54
1894,54
1894,54
1896,54
1104,54
1897,56
1898,56
1899,56
1900,56
1901,56
1902,56
1903,56
1904,56
1905,56
1906,56
1909,56
1909,56
1909,56
1913,57
1914,57
1915,57
1916,57
1885,57
1442,57
1917,57
1918,57
1919,57
1920,57
1921,57
1928,58
1834,58
1931,58
1931,58
1931,58
1931,58
1935,58
1936,58
1937,58
1938,58
1939,58
1940,58
1941,58
1942,58
1943,58
20658,58
1638,58
1582,59
1132,59
1948,59
1948,59
1948,59
1949,59
1950,59
1951,59
1952,59
1953,59
1954,59
1955,59
1958,59
1960,59
1962,59
1962,59
1962,59
1963,60
1963,60
1963,60
1749,60
1964,60
1965,60
1966,60
1967,60
1968,60
1969,60
1970,60
1971,60
1972,60
1974,60
1974,60
1163,60
1033,60
1033,60
1978,60
1979,60
1980,61
1981,61
1982,61
1982,61
1983,61
1529,61
1314,61
1984,61
1985,61
1133,61
1986,61
1987,61
1992,61
1992,61
1992,61
1995,62
1997,62
1998,62
1999,62
1999,62
1999,62
2000,62
2001,62
2002,62
2003,62
2006,62
2006,62
2006,62
1263,62
2008,62
2010,62
2011,62
2012,62
2013,62
2014,63
2015,63
2016,63
2017,63
